No,비고,교과목코드,교과목명,강좌번호,이수구분,학점,주야,강의시간,제한인원,신청인원,외국인신청인원,국내교류학생,개설상위,개설학과,관리학과,교수직급,교수명,대표교수,대표교수명,강의실,특수교과목,과목영역,사이버강좌구분,강의언어,타과제한여부,주야교차가능여부,분반,타교생제한여부,구분,이론,실습
1,,2114101,철도차량공학특론,101,전공선택,3,주간,토(4 ~ 6),999,4,0,0,철도전문대학원,철도차량시스템공학과,철도차량시스템공학과,겸임교수,박기준,20875,박기준,어의관-211 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
2,,2114108,차륜/레일시스템I/F,101,전공선택,3,주간,토(1 ~ 3),999,4,0,0,철도전문대학원,철도차량시스템공학과,철도차량시스템공학과,강사(비전업),송태섭,20980,송태섭,어의관-211 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
3,,2114119,피로해석특론,101,전공선택,3,주간,수(11 ~ 13),999,4,0,0,철도전문대학원,철도차량시스템공학과,철도차량시스템공학과,겸임교수,전현규,21020,전현규,어의관-102 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
4,,2124104,철도구조동역학,101,전공선택,3,주간,월(11 ~ 13),999,18,0,0,철도전문대학원,철도건설공학과,철도건설공학과,겸임교수,신정열,20790,신정열,어의관-103 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
5,,2124116,선로공학,101,전공선택,3,주간,금(11 ~ 13),999,20,0,0,철도전문대학원,철도건설공학과,철도건설공학과,강사(비전업),이세희,21014,이세희,어의관-103 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
6,,2124128,궤도노반설계,101,전공선택,3,주간,화(11 ~ 13),999,9,0,0,철도전문대학원,철도건설공학과,철도건설공학과,강사(비전업),김대규,20655,김대규,어의관-211 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
7,,2124132,철도터널공학,101,전공선택,3,주간,목(11 ~ 13),999,34,0,0,철도전문대학원,철도건설공학과,철도건설공학과,강사(비전업),고성일,20705,고성일,어의관-302 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
8,,2134109,전자파환경특론,101,전공선택,3,주간,화(11 ~ 13),999,12,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,교수,이종우,02326,이종우,어의관-102 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
9,,2134120,철도급전시스템,101,전공선택,3,주간,수(11 ~ 13),999,5,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,겸임교수,정호성,20581,정호성,어의관-101 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
10,,2134135,자동열차제어시스템특론,101,전공선택,3,주간,금(11 ~ 13),999,9,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,겸임교수,이재호,20576,이재호,어의관-102 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
11,,2134150,전철정보통신특론,101,전공선택,3,주간,월(11 ~ 13),999,11,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,겸임교수,김주락,21016,김주락,어의관-303 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
12,,2144111,경영전략특론,101,전공선택,3,주간,목(11 ~ 13),999,9,0,0,철도전문대학원,철도경영정책학과,철도경영정책학과,강사(비전업),지유선,20755,지유선,어의관-211 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
13,,2144128,철도계획연구개발론,101,전공선택,3,주간,토(7 ~ 9),999,4,0,0,철도전문대학원,철도경영정책학과,철도경영정책학과,교수,김시곤,02293,김시곤,어의관-111 ,,,일반강좌,한국어전용,N,N,,Y,이론,3,0
14,,5110045,석사학위논문연구 I,101,전공필수,3,주간,토(7 ~ 9),999,2,0,0,철도전문대학원,철도차량시스템공학과,철도차량시스템공학과,교수,임원식,02252,임원식,프론티어관-711 ,논문세미나,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
15,,5110048,박사학위논문연구 II,101,전공필수,3,주간,수(5 ~ 7),999,1,0,0,철도전문대학원,철도차량시스템공학과,철도차량시스템공학과,조교수,안다훈,02631,안다훈,프론티어관-916 ,논문세미나,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
16,,5130008,철도통신시스템특론,101,전공선택,3,주간,목(11 ~ 13),999,5,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,겸임교수,박성수,21017,박성수,어의관-102 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
17,,5130014,철도시스템공학특론,101,전공선택,3,주간,목(11 ~ 13),999,10,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,겸임교수,김상암,21021,김상암,어의관-303 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
18,,5130015,시스템안전성특론,101,전공선택,3,주간,토(1 ~ 3),999,7,0,0,철도전문대학원,철도전기·신호공학과,철도전기·신호공학과,교수,이종우,02326,이종우,어의관-212 ,,,일반강좌,한국어전용,Y,N,,Y,이론,3,0
